term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
divorce,15,téléphone,15,=hospital=,donc,divorce,15,=hospital=
communication,15,téléphone,15,étui,donc,communication,15,étui
fil,15,téléphone,15,étui,donc,fil,15,étui
ligne,15,téléphone,15,étui,donc,ligne,15,étui
bis,15,téléphone,15,étui,donc,bis,15,étui
client,15,téléphone,15,étui,donc,client,15,étui
divorce,15,téléphone,15,étui,donc,divorce,15,étui
révolution,15,monde,15,espace,donc,révolution,15,espace
espace,15,monde,15,espace,donc,espace,15,espace
espace,15,planète,15,espace,donc,espace,15,espace
lumière,15,ciel,15,espace,donc,lumière,15,espace
espace,15,ciel,15,espace,donc,espace,15,espace
lumière,15,espace,15,planète,donc,lumière,15,planète
cosmonaute,15,espace,15,planète,donc,cosmonaute,15,planète
monde,15,espace,15,planète,donc,monde,15,planète
fusée,15,espace,15,planète,donc,fusée,15,planète
lune,15,espace,15,planète,donc,lune,15,planète
planète,15,espace,15,planète,donc,planète,15,planète
satellite,15,espace,15,planète,donc,satellite,15,planète
tout,15,espace,15,planète,donc,tout,15,planète
ciel,15,espace,15,planète,donc,ciel,15,planète
particule,15,espace,15,planète,donc,particule,15,planète
être,15,espace,15,planète,donc,être,15,planète
galaxie,15,espace,15,planète,donc,galaxie,15,planète
vide,15,espace,15,planète,donc,vide,15,planète
dehors,15,espace,15,planète,donc,dehors,15,planète
soleil,15,espace,15,planète,donc,soleil,15,planète
étoile,15,espace,15,planète,donc,étoile,15,planète
univers,15,espace,15,planète,donc,univers,15,planète
mouvement,15,espace,15,planète,donc,mouvement,15,planète
astre,15,espace,15,planète,donc,astre,15,planète
lumière,15,espace,15,planète,donc,lumière,15,planète
nature,15,espace,15,planète,donc,nature,15,planète
"Space Marine",15,espace,15,planète,donc,"Space Marine",15,planète
"vaisseau spatial",15,espace,15,planète,donc,"vaisseau spatial",15,planète
engin,15,espace,15,planète,donc,engin,15,planète
